License Number,Facility Name,Address,Email,Website,Facility/Program Type,Phone,Enrolled in Subsidized Child Care Program
32001484,'A' PRECIOUS ANGEL DAYCARE,916 SOUTH MINERAL SPRINGS ROAD  DURHAM NC 27703  Durham,margaretlipscomb64@gmail.com,,Family Child Care Home,9198197786,Yes
51000859,'SMALL BLESSINGS',41 HEARTH LANE  SMITHFIELD NC 27577  Johnston,smallblessings89@gmail.com,,Family Child Care Home,9196708328,No
46000090,'KIDS ARE US' CHILDCARE CENTER,130 SPRING BRANCH ROAD  MURFREESBORO NC 27855  Hertford,svaughan1994@yahoo.com,,Family Child Care Home,2525062255,Yes
26002287,1ST START CHILD DEVELOPMENT CENTER, INC.,1425 MCARTHUR ROAD  FAYETTEVILLE NC 28311  Cumberland,adhccare@aol.com,www.1stchilddc@aol.com,Child Care Center,9104888881,Yes
5155111,A CHILD'S PLACE #1,9 NOBLE ST  SMITHFIELD NC 27577  Johnston,achildsplacesmfd@centurylink.net,,Child Care Center,9199346291,Yes
92001277,A NEW BEGINNING CHILD CARE,7320 FRIBOURG CT  WENDELL NC 27591  Wake,GINALYLE@BELLSOUTH.NET,,Family Child Care Home,9193669700,Yes
32001309,A BRILLIANT BEGINNING,2707 E SHOREHAM STREET  DURHAM NC 27707  Durham,abrilliantbeginningdaycare@gmail.com,,Family Child Care Home,9193289496,Yes
41001572,A CHILD'S DREAM,1623 WILLOMORE STREET  GREENSBORO NC 27403  Guilford,canarydime2000@aol.com,,Child Care Center,3362744118,Yes
32001683,A NEW BEGINNING,3807 UNIVERSITY DRIVE  DURHAM NC 27707  Durham,darnellawarthen@yahoo.com,,Child Care Center,9194901924,Yes
60001713,A CHILD'S CHOICE LEARNING CENTER II,322 S GARDNER AVE  CHARLOTTE NC 28208  Mecklenburg,tmotley361@gmail.com,,Child Care Center,7043741441,Yes
78000185,A GIFT FROM GOD DAYCARE,97 SURF LANE  MAXTON NC 28364  Robeson,agiftfromgoddayc@bellsouth.net,,Child Care Center,9107335240,Yes
60004194,A HOME JUST LIKE HOME,2501 TUCKASEEGEE RD  CHARLOTTE NC 28208  Mecklenburg,ahomejustlikehome@yahoo.com,,Child Care Center,7046067929,Yes
32002186,A NEW BEGINNING IV,212 DAVIDSON AVE  DURHAM NC 27704  Durham,darnellawarthen@yahoo.com,,Child Care Center,9192200055,No
39000233,1ST PLACE ACADEMY,1002 N DURHAM AVE  CREEDMOOR NC 27522  Granville,1stplaceacademy@gmail.com,,Child Care Center,9195289378,Yes
74000624,A BUNDLE OF JOY,828 BARRUS CONSTRUCTION ROAD  GREENVILLE NC 27834  Pitt,abundleofjoychildcare@gmail.com,,Family Child Care Home,2527585311,Yes
25000534,3 C'S COX CHILDCARE CENTER,403 NINTH STREET  NEW BERN NC 28562  Craven,cathyc827@gmail.com,,Child Care Center,2522885809,Yes
29000751,A CHILD'S WORLD,234 CEDAR LODGE ROAD  THOMASVILLE NC 27360  Davidson,hsojazs@gmail.com,,Child Care Center,3364742211,Yes
